Date, node, time since harvest, inventory quantity 
2018-09-11,supplier,5,3.66
2018-09-11,supplier,4,21.00
2018-09-11,supplier,3,15.00
2018-09-11,supplier,2,8.72
2018-09-11,supplier,1,0.00
2018-09-11,supplier,0,0.00
2018-09-11,retailer,9,9.88
2018-09-11,retailer,8,16.29
2018-09-11,retailer,7,0.00
2018-09-11,retailer,6,0.00
2018-09-11,retailer,5,0.00
2018-09-11,retailer,4,0.00
2018-09-11,retailer,3,0.00
2018-09-11,retailer,2,0.00
2018-09-11,retailer,1,0.00
2018-09-11,retailer,0,0.00
2018-09-12,supplier,9,1.05
2018-09-12,supplier,8,4.37
2018-09-12,supplier,7,0.17
2018-09-12,supplier,6,3.66
2018-09-12,supplier,5,8.87
2018-09-12,supplier,4,17.54
2018-09-12,supplier,3,13.90
2018-09-12,supplier,2,11.19
2018-09-12,supplier,1,0.00
2018-09-12,supplier,0,0.00
2018-09-12,retailer,9,16.29
2018-09-12,retailer,8,19.50
2018-09-12,retailer,7,0.00
2018-09-12,retailer,6,0.00
2018-09-12,retailer,5,0.00
2018-09-12,retailer,4,0.00
2018-09-12,retailer,3,0.00
2018-09-12,retailer,2,0.00
2018-09-12,retailer,1,0.00
2018-09-12,retailer,0,0.00
2018-09-13,supplier,9,4.37
2018-09-13,supplier,8,0.17
2018-09-13,supplier,7,3.66
2018-09-13,supplier,6,8.87
2018-09-13,supplier,5,6.99
2018-09-13,supplier,4,21.38
2018-09-13,supplier,3,15.68
2018-09-13,supplier,2,8.23
2018-09-13,supplier,1,0.00
2018-09-13,supplier,0,0.00
2018-09-13,retailer,9,19.50
2018-09-13,retailer,8,15.38
2018-09-13,retailer,7,0.00
2018-09-13,retailer,6,0.00
2018-09-13,retailer,5,0.00
2018-09-13,retailer,4,0.00
2018-09-13,retailer,3,0.00
2018-09-13,retailer,2,0.00
2018-09-13,retailer,1,0.00
2018-09-13,retailer,0,0.00
2018-09-14,supplier,9,0.17
2018-09-14,supplier,8,3.66
2018-09-14,supplier,7,8.87
2018-09-14,supplier,6,6.99
2018-09-14,supplier,5,6.81
2018-09-14,supplier,4,22.33
2018-09-14,supplier,3,13.40
2018-09-14,supplier,2,7.93
2018-09-14,supplier,1,0.00
2018-09-14,supplier,0,0.00
2018-09-14,retailer,9,15.38
2018-09-14,retailer,8,14.34
2018-09-14,retailer,7,0.00
2018-09-14,retailer,6,0.00
2018-09-14,retailer,5,0.00
2018-09-14,retailer,4,0.00
2018-09-14,retailer,3,0.00
2018-09-14,retailer,2,0.00
2018-09-14,retailer,1,0.00
2018-09-14,retailer,0,0.00
2018-09-15,supplier,9,3.66
2018-09-15,supplier,8,8.87
2018-09-15,supplier,7,6.99
2018-09-15,supplier,6,6.81
2018-09-15,supplier,5,4.30
2018-09-15,supplier,4,16.55
2018-09-15,supplier,3,11.54
2018-09-15,supplier,2,7.68
2018-09-15,supplier,1,0.00
2018-09-15,supplier,0,0.00
2018-09-15,retailer,9,6.89
2018-09-15,retailer,8,14.64
2018-09-15,retailer,7,0.00
2018-09-15,retailer,6,0.00
2018-09-15,retailer,5,0.00
2018-09-15,retailer,4,0.00
2018-09-15,retailer,3,0.00
2018-09-15,retailer,2,0.00
2018-09-15,retailer,1,0.00
2018-09-15,retailer,0,0.00
2018-09-16,supplier,9,8.87
2018-09-16,supplier,8,6.99
2018-09-16,supplier,7,6.81
2018-09-16,supplier,6,4.30
2018-09-16,supplier,5,0.00
2018-09-16,supplier,4,9.94
2018-09-16,supplier,3,11.13
2018-09-16,supplier,2,5.52
2018-09-16,supplier,1,0.00
2018-09-16,supplier,0,0.00
2018-09-16,retailer,9,14.64
2018-09-16,retailer,8,12.13
2018-09-16,retailer,7,0.00
2018-09-16,retailer,6,0.00
2018-09-16,retailer,5,0.00
2018-09-16,retailer,4,0.00
2018-09-16,retailer,3,0.00
2018-09-16,retailer,2,0.00
2018-09-16,retailer,1,0.00
2018-09-16,retailer,0,0.00
2018-09-17,supplier,9,6.99
2018-09-17,supplier,8,6.81
2018-09-17,supplier,7,4.30
2018-09-17,supplier,6,0.00
2018-09-17,supplier,5,0.00
2018-09-17,supplier,4,12.13
2018-09-17,supplier,3,10.05
2018-09-17,supplier,2,9.85
2018-09-17,supplier,1,0.00
2018-09-17,supplier,0,0.00
2018-09-17,retailer,9,12.13
2018-09-17,retailer,8,10.55
2018-09-17,retailer,7,0.00
2018-09-17,retailer,6,0.00
2018-09-17,retailer,5,0.00
2018-09-17,retailer,4,0.00
2018-09-17,retailer,3,0.00
2018-09-17,retailer,2,0.00
2018-09-17,retailer,1,0.00
2018-09-17,retailer,0,0.00
2018-09-18,supplier,9,6.81
2018-09-18,supplier,8,4.30
2018-09-18,supplier,7,0.00
2018-09-18,supplier,6,0.00
2018-09-18,supplier,5,0.00
2018-09-18,supplier,4,12.03
2018-09-18,supplier,3,14.75
2018-09-18,supplier,2,9.19
2018-09-18,supplier,1,0.00
2018-09-18,supplier,0,0.00
2018-09-18,retailer,9,10.55
2018-09-18,retailer,8,14.57
2018-09-18,retailer,7,0.00
2018-09-18,retailer,6,0.00
2018-09-18,retailer,5,0.00
2018-09-18,retailer,4,0.00
2018-09-18,retailer,3,0.00
2018-09-18,retailer,2,0.00
2018-09-18,retailer,1,0.00
2018-09-18,retailer,0,0.00
2018-09-19,supplier,9,4.30
2018-09-19,supplier,8,0.00
2018-09-19,supplier,7,0.00
2018-09-19,supplier,6,0.00
2018-09-19,supplier,5,0.00
2018-09-19,supplier,4,21.13
2018-09-19,supplier,3,14.94
2018-09-19,supplier,2,10.04
2018-09-19,supplier,1,0.00
2018-09-19,supplier,0,0.00
2018-09-19,retailer,9,14.57
2018-09-19,retailer,8,18.03
2018-09-19,retailer,7,0.00
2018-09-19,retailer,6,0.00
2018-09-19,retailer,5,0.00
2018-09-19,retailer,4,0.00
2018-09-19,retailer,3,0.00
2018-09-19,retailer,2,0.00
2018-09-19,retailer,1,0.00
2018-09-19,retailer,0,0.00
2018-09-20,supplier,9,0.00
2018-09-20,supplier,8,0.00
2018-09-20,supplier,7,0.00
2018-09-20,supplier,6,0.00
2018-09-20,supplier,5,9.97
2018-09-20,supplier,4,19.38
2018-09-20,supplier,3,15.69
2018-09-20,supplier,2,10.58
2018-09-20,supplier,1,0.00
2018-09-20,supplier,0,0.00
2018-09-20,retailer,9,10.98
2018-09-20,retailer,8,16.55
2018-09-20,retailer,7,4.84
2018-09-20,retailer,6,0.00
2018-09-20,retailer,5,0.00
2018-09-20,retailer,4,0.00
2018-09-20,retailer,3,0.00
2018-09-20,retailer,2,0.00
2018-09-20,retailer,1,0.00
2018-09-20,retailer,0,0.00
2018-09-21,supplier,9,0.00
2018-09-21,supplier,8,0.00
2018-09-21,supplier,7,0.00
2018-09-21,supplier,6,9.97
2018-09-21,supplier,5,0.90
2018-09-21,supplier,4,22.35
2018-09-21,supplier,3,15.12
2018-09-21,supplier,2,9.18
2018-09-21,supplier,1,0.00
2018-09-21,supplier,0,0.00
2018-09-21,retailer,9,14.88
2018-09-21,retailer,8,14.78
2018-09-21,retailer,7,1.30
2018-09-21,retailer,6,0.00
2018-09-21,retailer,5,0.00
2018-09-21,retailer,4,0.00
2018-09-21,retailer,3,0.00
2018-09-21,retailer,2,0.00
2018-09-21,retailer,1,0.00
2018-09-21,retailer,0,0.00
2018-09-22,supplier,9,0.00
2018-09-22,supplier,8,0.00
2018-09-22,supplier,7,9.97
2018-09-22,supplier,6,0.90
2018-09-22,supplier,5,7.95
2018-09-22,supplier,4,20.03
2018-09-22,supplier,3,14.93
2018-09-22,supplier,2,8.81
2018-09-22,supplier,1,0.00
2018-09-22,supplier,0,0.00
2018-09-22,retailer,9,14.78
2018-09-22,retailer,8,13.43
2018-09-22,retailer,7,1.49
2018-09-22,retailer,6,0.00
2018-09-22,retailer,5,0.00
2018-09-22,retailer,4,0.00
2018-09-22,retailer,3,0.00
2018-09-22,retailer,2,0.00
2018-09-22,retailer,1,0.00
2018-09-22,retailer,0,0.00
2018-09-23,supplier,9,0.00
2018-09-23,supplier,8,9.97
2018-09-23,supplier,7,0.90
2018-09-23,supplier,6,7.95
2018-09-23,supplier,5,5.30
2018-09-23,supplier,4,17.10
2018-09-23,supplier,3,13.60
2018-09-23,supplier,2,9.46
2018-09-23,supplier,1,0.00
2018-09-23,supplier,0,0.00
2018-09-23,retailer,9,13.43
2018-09-23,retailer,8,13.52
2018-09-23,retailer,7,0.55
2018-09-23,retailer,6,0.00
2018-09-23,retailer,5,0.00
2018-09-23,retailer,4,0.00
2018-09-23,retailer,3,0.00
2018-09-23,retailer,2,0.00
2018-09-23,retailer,1,0.00
2018-09-23,retailer,0,0.00
2018-09-24,supplier,9,9.97
2018-09-24,supplier,8,0.90
2018-09-24,supplier,7,7.95
2018-09-24,supplier,6,5.30
2018-09-24,supplier,5,2.34
2018-09-24,supplier,4,19.33
2018-09-24,supplier,3,14.28
2018-09-24,supplier,2,7.17
2018-09-24,supplier,1,0.00
2018-09-24,supplier,0,0.00
2018-09-24,retailer,9,11.59
2018-09-24,retailer,8,11.71
2018-09-24,retailer,7,0.00
2018-09-24,retailer,6,0.00
2018-09-24,retailer,5,0.00
2018-09-24,retailer,4,0.00
2018-09-24,retailer,3,0.00
2018-09-24,retailer,2,0.00
2018-09-24,retailer,1,0.00
2018-09-24,retailer,0,0.00
2018-09-25,supplier,9,0.90
2018-09-25,supplier,8,7.95
2018-09-25,supplier,7,5.30
2018-09-25,supplier,6,2.34
2018-09-25,supplier,5,4.15
2018-09-25,supplier,4,17.57
2018-09-25,supplier,3,11.04
2018-09-25,supplier,2,8.01
2018-09-25,supplier,1,0.00
2018-09-25,supplier,0,0.00
2018-09-25,retailer,9,11.71
2018-09-25,retailer,8,18.48
2018-09-25,retailer,7,0.00
2018-09-25,retailer,6,0.00
2018-09-25,retailer,5,0.00
2018-09-25,retailer,4,0.00
2018-09-25,retailer,3,0.00
2018-09-25,retailer,2,0.00
2018-09-25,retailer,1,0.00
2018-09-25,retailer,0,0.00
2018-09-26,supplier,9,7.95
2018-09-26,supplier,8,5.30
2018-09-26,supplier,7,2.34
2018-09-26,supplier,6,4.15
2018-09-26,supplier,5,4.90
2018-09-26,supplier,4,16.54
2018-09-26,supplier,3,10.99
2018-09-26,supplier,2,6.18
2018-09-26,supplier,1,0.00
2018-09-26,supplier,0,0.00
2018-09-26,retailer,9,18.48
2018-09-26,retailer,8,14.40
2018-09-26,retailer,7,0.00
2018-09-26,retailer,6,0.00
2018-09-26,retailer,5,0.00
2018-09-26,retailer,4,0.00
2018-09-26,retailer,3,0.00
2018-09-26,retailer,2,0.00
2018-09-26,retailer,1,0.00
2018-09-26,retailer,0,0.00
2018-09-27,supplier,9,5.30
2018-09-27,supplier,8,2.34
2018-09-27,supplier,7,4.15
2018-09-27,supplier,6,4.90
2018-09-27,supplier,5,4.54
2018-09-27,supplier,4,14.50
2018-09-27,supplier,3,9.76
2018-09-27,supplier,2,7.44
2018-09-27,supplier,1,0.00
2018-09-27,supplier,0,0.00
2018-09-27,retailer,9,12.08
2018-09-27,retailer,8,14.74
2018-09-27,retailer,7,0.00
2018-09-27,retailer,6,0.00
2018-09-27,retailer,5,0.00
2018-09-27,retailer,4,0.00
2018-09-27,retailer,3,0.00
2018-09-27,retailer,2,0.00
2018-09-27,retailer,1,0.00
2018-09-27,retailer,0,0.00
2018-09-28,supplier,9,2.34
2018-09-28,supplier,8,4.15
2018-09-28,supplier,7,4.90
2018-09-28,supplier,6,4.54
2018-09-28,supplier,5,-0.00
2018-09-28,supplier,4,12.03
2018-09-28,supplier,3,13.03
2018-09-28,supplier,2,10.26
2018-09-28,supplier,1,0.00
2018-09-28,supplier,0,0.00
2018-09-28,retailer,9,10.83
2018-09-28,retailer,8,14.77
2018-09-28,retailer,7,0.00
2018-09-28,retailer,6,0.00
2018-09-28,retailer,5,0.00
2018-09-28,retailer,4,0.00
2018-09-28,retailer,3,0.00
2018-09-28,retailer,2,0.00
2018-09-28,retailer,1,0.00
2018-09-28,retailer,0,0.00
2018-09-29,supplier,9,4.15
2018-09-29,supplier,8,4.90
2018-09-29,supplier,7,4.54
2018-09-29,supplier,6,-0.00
2018-09-29,supplier,5,0.00
2018-09-29,supplier,4,13.91
2018-09-29,supplier,3,14.16
2018-09-29,supplier,2,6.42
2018-09-29,supplier,1,0.00
2018-09-29,supplier,0,0.00
2018-09-29,retailer,9,14.77
2018-09-29,retailer,8,15.18
2018-09-29,retailer,7,0.00
2018-09-29,retailer,6,0.00
2018-09-29,retailer,5,0.00
2018-09-29,retailer,4,0.00
2018-09-29,retailer,3,0.00
2018-09-29,retailer,2,0.00
2018-09-29,retailer,1,0.00
2018-09-29,retailer,0,0.00
2018-09-30,supplier,9,4.90
2018-09-30,supplier,8,4.54
2018-09-30,supplier,7,-0.00
2018-09-30,supplier,6,0.00
2018-09-30,supplier,5,1.34
2018-09-30,supplier,4,17.54
2018-09-30,supplier,3,10.78
2018-09-30,supplier,2,10.76
2018-09-30,supplier,1,0.00
2018-09-30,supplier,0,0.00
2018-09-30,retailer,9,15.18
2018-09-30,retailer,8,12.67
2018-09-30,retailer,7,0.00
2018-09-30,retailer,6,0.00
2018-09-30,retailer,5,0.00
2018-09-30,retailer,4,0.00
2018-09-30,retailer,3,0.00
2018-09-30,retailer,2,0.00
2018-09-30,retailer,1,0.00
2018-09-30,retailer,0,0.00
2018-10-01,supplier,9,4.54
2018-10-01,supplier,8,-0.00
2018-10-01,supplier,7,0.00
2018-10-01,supplier,6,1.34
2018-10-01,supplier,5,3.43
2018-10-01,supplier,4,17.00
2018-10-01,supplier,3,16.75
2018-10-01,supplier,2,9.61
2018-10-01,supplier,1,0.00
2018-10-01,supplier,0,0.00
2018-10-01,retailer,9,12.67
2018-10-01,retailer,8,12.00
2018-10-01,retailer,7,0.00
2018-10-01,retailer,6,0.00
2018-10-01,retailer,5,0.00
2018-10-01,retailer,4,0.00
2018-10-01,retailer,3,0.00
2018-10-01,retailer,2,0.00
2018-10-01,retailer,1,0.00
2018-10-01,retailer,0,0.00
2018-10-02,supplier,9,-0.00
2018-10-02,supplier,8,0.00
2018-10-02,supplier,7,1.34
2018-10-02,supplier,6,3.43
2018-10-02,supplier,5,2.14
2018-10-02,supplier,4,20.09
2018-10-02,supplier,3,14.40
2018-10-02,supplier,2,11.54
2018-10-02,supplier,1,0.00
2018-10-02,supplier,0,0.00
2018-10-02,retailer,9,12.00
2018-10-02,retailer,8,14.50
2018-10-02,retailer,7,3.65
2018-10-02,retailer,6,0.00
2018-10-02,retailer,5,0.00
2018-10-02,retailer,4,0.00
2018-10-02,retailer,3,0.00
2018-10-02,retailer,2,0.00
