Date, node, time since harvest, inventory quantity 
2018-09-10,supplier,4,2.07
2018-09-10,supplier,3,4.25
2018-09-10,supplier,2,0.00
2018-09-10,supplier,1,0.00
2018-09-10,supplier,0,0.00
2018-09-10,retailer,9,0.00
2018-09-10,retailer,8,4.51
2018-09-10,retailer,7,3.10
2018-09-10,retailer,6,0.87
2018-09-10,retailer,5,0.00
2018-09-10,retailer,4,0.00
2018-09-10,retailer,3,0.00
2018-09-10,retailer,2,0.00
2018-09-10,retailer,1,0.00
2018-09-10,retailer,0,0.00
2018-09-11,supplier,9,0.00
2018-09-11,supplier,8,0.00
2018-09-11,supplier,7,0.00
2018-09-11,supplier,6,0.00
2018-09-11,supplier,5,3.30
2018-09-11,supplier,4,2.98
2018-09-11,supplier,3,6.32
2018-09-11,supplier,2,0.00
2018-09-11,supplier,1,0.00
2018-09-11,supplier,0,0.00
2018-09-11,retailer,9,0.00
2018-09-11,retailer,8,0.29
2018-09-11,retailer,7,0.31
2018-09-11,retailer,6,0.67
2018-09-11,retailer,5,0.00
2018-09-11,retailer,4,0.00
2018-09-11,retailer,3,0.00
2018-09-11,retailer,2,0.00
2018-09-11,retailer,1,0.00
2018-09-11,retailer,0,0.00
2018-09-12,supplier,9,0.00
2018-09-12,supplier,8,0.00
2018-09-12,supplier,7,0.00
2018-09-12,supplier,6,0.00
2018-09-12,supplier,5,3.64
2018-09-12,supplier,4,3.23
2018-09-12,supplier,3,6.44
2018-09-12,supplier,2,0.00
2018-09-12,supplier,1,0.00
2018-09-12,supplier,0,0.00
2018-09-12,retailer,9,0.29
2018-09-12,retailer,8,2.87
2018-09-12,retailer,7,3.61
2018-09-12,retailer,6,6.13
2018-09-12,retailer,5,0.00
2018-09-12,retailer,4,0.00
2018-09-12,retailer,3,0.00
2018-09-12,retailer,2,0.00
2018-09-12,retailer,1,0.00
2018-09-12,retailer,0,0.00
2018-09-13,supplier,9,0.00
2018-09-13,supplier,8,0.00
2018-09-13,supplier,7,0.00
2018-09-13,supplier,6,0.00
2018-09-13,supplier,5,2.06
2018-09-13,supplier,4,2.49
2018-09-13,supplier,3,6.01
2018-09-13,supplier,2,0.00
2018-09-13,supplier,1,0.00
2018-09-13,supplier,0,0.00
2018-09-13,retailer,9,0.00
2018-09-13,retailer,8,2.88
2018-09-13,retailer,7,3.43
2018-09-13,retailer,6,4.25
2018-09-13,retailer,5,0.00
2018-09-13,retailer,4,0.00
2018-09-13,retailer,3,0.00
2018-09-13,retailer,2,0.00
2018-09-13,retailer,1,0.00
2018-09-13,retailer,0,0.00
2018-09-14,supplier,9,0.00
2018-09-14,supplier,8,0.00
2018-09-14,supplier,7,0.00
2018-09-14,supplier,6,0.00
2018-09-14,supplier,5,3.37
2018-09-14,supplier,4,3.85
2018-09-14,supplier,3,6.29
2018-09-14,supplier,2,0.00
2018-09-14,supplier,1,0.00
2018-09-14,supplier,0,0.00
2018-09-14,retailer,9,0.00
2018-09-14,retailer,8,3.30
2018-09-14,retailer,7,2.98
2018-09-14,retailer,6,6.32
2018-09-14,retailer,5,0.00
2018-09-14,retailer,4,0.00
2018-09-14,retailer,3,0.00
2018-09-14,retailer,2,0.00
2018-09-14,retailer,1,0.00
2018-09-14,retailer,0,0.00
2018-09-15,supplier,9,0.00
2018-09-15,supplier,8,0.00
2018-09-15,supplier,7,0.00
2018-09-15,supplier,6,0.00
2018-09-15,supplier,5,1.89
2018-09-15,supplier,4,2.96
2018-09-15,supplier,3,5.13
2018-09-15,supplier,2,0.00
2018-09-15,supplier,1,0.00
2018-09-15,supplier,0,0.00
2018-09-15,retailer,9,0.00
2018-09-15,retailer,8,3.64
2018-09-15,retailer,7,3.23
2018-09-15,retailer,6,6.44
2018-09-15,retailer,5,0.00
2018-09-15,retailer,4,0.00
2018-09-15,retailer,3,0.00
2018-09-15,retailer,2,0.00
2018-09-15,retailer,1,0.00
2018-09-15,retailer,0,0.00
2018-09-16,supplier,9,0.00
2018-09-16,supplier,8,0.00
2018-09-16,supplier,7,0.00
2018-09-16,supplier,6,0.00
2018-09-16,supplier,5,0.65
2018-09-16,supplier,4,0.70
2018-09-16,supplier,3,1.65
2018-09-16,supplier,2,0.00
2018-09-16,supplier,1,0.00
2018-09-16,supplier,0,0.00
2018-09-16,retailer,9,1.54
2018-09-16,retailer,8,5.28
2018-09-16,retailer,7,8.94
2018-09-16,retailer,6,6.01
2018-09-16,retailer,5,0.00
2018-09-16,retailer,4,0.00
2018-09-16,retailer,3,0.00
2018-09-16,retailer,2,0.00
2018-09-16,retailer,1,0.00
2018-09-16,retailer,0,0.00
2018-09-17,supplier,9,0.00
2018-09-17,supplier,8,0.00
2018-09-17,supplier,7,0.00
2018-09-17,supplier,6,0.00
2018-09-17,supplier,5,2.71
2018-09-17,supplier,4,1.92
2018-09-17,supplier,3,4.35
2018-09-17,supplier,2,0.00
2018-09-17,supplier,1,0.00
2018-09-17,supplier,0,0.00
2018-09-17,retailer,9,0.00
2018-09-17,retailer,8,9.01
2018-09-17,retailer,7,9.86
2018-09-17,retailer,6,6.29
2018-09-17,retailer,5,0.00
2018-09-17,retailer,4,0.00
2018-09-17,retailer,3,0.00
2018-09-17,retailer,2,0.00
2018-09-17,retailer,1,0.00
2018-09-17,retailer,0,0.00
2018-09-18,supplier,9,0.00
2018-09-18,supplier,8,0.00
2018-09-18,supplier,7,0.00
2018-09-18,supplier,6,0.00
2018-09-18,supplier,5,3.22
2018-09-18,supplier,4,2.21
2018-09-18,supplier,3,4.65
2018-09-18,supplier,2,0.00
2018-09-18,supplier,1,0.00
2018-09-18,supplier,0,0.00
2018-09-18,retailer,9,1.99
2018-09-18,retailer,8,11.75
2018-09-18,retailer,7,9.25
2018-09-18,retailer,6,5.13
2018-09-18,retailer,5,0.00
2018-09-18,retailer,4,0.00
2018-09-18,retailer,3,0.00
2018-09-18,retailer,2,0.00
2018-09-18,retailer,1,0.00
2018-09-18,retailer,0,0.00
2018-09-19,supplier,9,0.00
2018-09-19,supplier,8,0.00
2018-09-19,supplier,7,0.00
2018-09-19,supplier,6,0.00
2018-09-19,supplier,5,4.27
2018-09-19,supplier,4,2.75
2018-09-19,supplier,3,4.82
2018-09-19,supplier,2,0.00
2018-09-19,supplier,1,0.00
2018-09-19,supplier,0,0.00
2018-09-19,retailer,9,4.66
2018-09-19,retailer,8,9.90
2018-09-19,retailer,7,5.83
2018-09-19,retailer,6,1.65
2018-09-19,retailer,5,0.00
2018-09-19,retailer,4,0.00
2018-09-19,retailer,3,0.00
2018-09-19,retailer,2,0.00
2018-09-19,retailer,1,0.00
2018-09-19,retailer,0,0.00
2018-09-20,supplier,9,0.00
2018-09-20,supplier,8,0.00
2018-09-20,supplier,7,0.00
2018-09-20,supplier,6,0.00
2018-09-20,supplier,5,0.81
2018-09-20,supplier,4,1.49
2018-09-20,supplier,3,2.72
2018-09-20,supplier,2,0.00
2018-09-20,supplier,1,0.00
2018-09-20,supplier,0,0.00
2018-09-20,retailer,9,0.00
2018-09-20,retailer,8,2.71
2018-09-20,retailer,7,2.34
2018-09-20,retailer,6,4.35
2018-09-20,retailer,5,0.00
2018-09-20,retailer,4,0.00
2018-09-20,retailer,3,0.00
2018-09-20,retailer,2,0.00
2018-09-20,retailer,1,0.00
2018-09-20,retailer,0,0.00
2018-09-21,supplier,9,0.00
2018-09-21,supplier,8,0.00
2018-09-21,supplier,7,0.00
2018-09-21,supplier,6,0.00
2018-09-21,supplier,5,1.64
2018-09-21,supplier,4,2.15
2018-09-21,supplier,3,4.80
2018-09-21,supplier,2,0.00
2018-09-21,supplier,1,0.00
2018-09-21,supplier,0,0.00
2018-09-21,retailer,9,0.00
2018-09-21,retailer,8,3.22
2018-09-21,retailer,7,2.21
2018-09-21,retailer,6,4.65
2018-09-21,retailer,5,0.00
2018-09-21,retailer,4,0.00
2018-09-21,retailer,3,0.00
2018-09-21,retailer,2,0.00
2018-09-21,retailer,1,0.00
2018-09-21,retailer,0,0.00
2018-09-22,supplier,9,0.00
2018-09-22,supplier,8,0.00
2018-09-22,supplier,7,0.00
2018-09-22,supplier,6,0.00
2018-09-22,supplier,5,1.01
2018-09-22,supplier,4,2.01
2018-09-22,supplier,3,4.48
2018-09-22,supplier,2,0.00
2018-09-22,supplier,1,0.00
